1388764 Reza_H 1351969199.0 311 0
1388765 Reza_H 1351969200.0 168 2
1388766 Reza_H 1351969560.0 168 2
1388767 Reza_H 1351969680.0 168 2
1388768 Reza_H 1351969860.0 168 2
1388769 Reza_H 1351969920.0 168 2
1388770 Reza_H 1351970040.0 168 2
1388772 |Andrei Heidelbacher| 1351971660.0 311 2
1388773 |Andrei Heidelbacher| 1351971780.0 311 2
1388776 Reza_H 1351972200.0 168 2
1388778 Reza_H 1351972500.0 168 2
1388779 |Andrei Heidelbacher| 1351972620.0 311 2
1388780 |Andrei Heidelbacher| 1351972740.0 311 2
1388781 |Andrei Heidelbacher| 1351972860.0 311 2
1388782 |Andrei Heidelbacher| 1351973340.0 311 2
1388783 |Andrei Heidelbacher| 1351973640.0 311 2
1388784 |Andrei Heidelbacher| 1351973760.0 311 0
1388806 vjudge5 1351977600.0 168 0
1388808 Reza_H 1351977720.0 168 0
1388808 Reza_H 1351977720.0 168 0
